date,ticker,FCF_Yield,ROIC,Gearing,ROE,EV_EBITDA,P_E,EBITDA_Margin,Net_Margin,Revenue_Growth_YOY
2020-01-31,CAE.TO,,,,,,,,,
2020-02-29,CAE.TO,,,,,,,,,
2020-03-31,CAE.TO,,,,,,,,,
2020-04-30,CAE.TO,,,,,,,,,
2020-05-31,CAE.TO,,,,,,,,,
2020-06-30,CAE.TO,,,,,,,,,
2020-07-31,CAE.TO,,,,,,,,,
2020-08-31,CAE.TO,,,,,,,,,
2020-09-30,CAE.TO,,,,,,,,,
2020-10-31,CAE.TO,,,,,,,,,
2020-11-30,CAE.TO,,,,,,,,,
2020-12-31,CAE.TO,,,,,,,,,
2021-01-31,CAE.TO,,,,,,,,,
2021-02-28,CAE.TO,,,,,,,,,
2021-03-31,CAE.TO,0.018345707032545226,-0.005788948668051217,8.015872538906835,-0.16089695251388586,35.5859230997151,-234.43345355932203,0.11771018478151514,-0.015828833964921695,
2021-04-30,CAE.TO,,,,,,,,,
2021-05-31,CAE.TO,,,,,,,,,
2021-06-30,CAE.TO,,,,,,,,,
2021-07-31,CAE.TO,,,,,,,,,
2021-08-31,CAE.TO,,,,,,,,,
2021-09-30,CAE.TO,,,,,,,,,
2021-10-31,CAE.TO,,,,,,,,,
2021-11-30,CAE.TO,,,,,,,,,
2021-12-31,CAE.TO,,,,,,,,,
2022-01-31,CAE.TO,,,,,,,,,
2022-02-28,CAE.TO,,,,,,,,,
2022-03-31,CAE.TO,0.005006660934004953,0.014193466531331802,9.608732519070797,0.44696914120948456,23.8526408040201,78.08933668313338,0.17118025687420282,0.042031263904131935,0.13058788021060397
2022-04-30,CAE.TO,,,,,,,,,
2022-05-31,CAE.TO,,,,,,,,,
2022-06-30,CAE.TO,,,,,,,,,
2022-07-31,CAE.TO,,,,,,,,,
2022-08-31,CAE.TO,,,,,,,,,
2022-09-30,CAE.TO,,,,,,,,,
2022-10-31,CAE.TO,,,,,,,,,
2022-11-30,CAE.TO,,,,,,,,,
2022-12-31,CAE.TO,,,,,,,,,
2023-01-31,CAE.TO,,,,,,,,,
2023-02-28,CAE.TO,,,,,,,,,
2023-03-31,CAE.TO,-0.0015273027036946517,0.020394270922366845,10.223452955271819,0.7005208987843556,17.93836239725156,49.686838832510105,0.1959557173490251,0.05552785119433501,0.18963011301278443
2023-04-30,CAE.TO,,,,,,,,,
2023-05-31,CAE.TO,,,,,,,,,
2023-06-30,CAE.TO,,,,,,,,,
2023-07-31,CAE.TO,,,,,,,,,
2023-08-31,CAE.TO,,,,,,,,,
2023-09-30,CAE.TO,,,,,,,,,
2023-10-31,CAE.TO,,,,,,,,,
2023-11-30,CAE.TO,,,,,,,,,
2023-12-31,CAE.TO,0.009190928104482016,0.005431230053447149,10.084438344694629,0.17750421087113197,65.2705673800738,195.84529217699114,0.19808131566925538,0.05162174508908177,
2024-01-31,CAE.TO,,,,,,,,,
2024-02-29,CAE.TO,,,,,,,,,
2024-03-31,CAE.TO,0.008061266341394256,0.005668365504233717,9.658127088065761,0.17749867627613294,64.48089948339484,,,,0.06787014411808712
2024-04-30,CAE.TO,,,,,,,,,
2024-05-31,CAE.TO,,,,,,,,,
2024-06-30,CAE.TO,-0.012119011394405492,0.00467654690747602,10.264742316281804,0.15148249377506529,70.62168660696517,229.09438939958594,0.1874125874125874,0.045034965034965034,
2024-07-31,CAE.TO,,,,,,,,,
2024-08-31,CAE.TO,,,,,,,,,
2024-09-30,CAE.TO,0.007293096342494579,0.005171530641729491,10.184244905332742,0.16478852787091441,64.75783230064161,210.76683824761903,0.19197606897765265,0.04619039239838114,
2024-10-31,CAE.TO,,,,,,,,,
2024-11-30,CAE.TO,,,,,,,,,
2024-12-31,CAE.TO,0.027988499842262347,0.014769780643352723,11.434772673847569,0.5274122319884829,39.73039131441168,65.63024322657176,0.2966323361124734,0.13781265326140266,
2025-01-31,CAE.TO,,,,,,,,,
2025-02-28,CAE.TO,,,,,,,,,
2025-03-31,CAE.TO,,,,,,,,,
2025-04-30,CAE.TO,,,,,,,,,
2025-05-31,CAE.TO,,,,,,,,,
2025-06-30,CAE.TO,,,,,,,,,
2025-07-31,CAE.TO,,,,,,,,,
2025-08-31,CAE.TO,,,,,,,,,
2025-09-30,CAE.TO,,,,,,,,,
2025-10-31,CAE.TO,,,,,,,,,
2025-11-30,CAE.TO,,,,,,,,,
