date,ticker,FCF_Yield,ROIC,Gearing,ROE,EV_EBITDA,P_E,EBITDA_Margin,Net_Margin,Revenue_Growth_YOY
2020-01-31,ERJ,,,,,,,,,
2020-02-29,ERJ,,,,,,,,,
2020-03-31,ERJ,,,,,,,,,
2020-04-30,ERJ,,,,,,,,,
2020-05-31,ERJ,,,,,,,,,
2020-06-30,ERJ,,,,,,,,,
2020-07-31,ERJ,,,,,,,,,
2020-08-31,ERJ,,,,,,,,,
2020-09-30,ERJ,,,,,,,,,
2020-10-31,ERJ,,,,,,,,,
2020-11-30,ERJ,,,,,,,,,
2020-12-31,ERJ,,,,,,,,,
2021-01-31,ERJ,,,,,,,,,
2021-02-28,ERJ,,,,,,,,,
2021-03-31,ERJ,,,,,,,,,
2021-04-30,ERJ,,,,,,,,,
2021-05-31,ERJ,,,,,,,,,
2021-06-30,ERJ,,,,,,,,,
2021-07-31,ERJ,,,,,,,,,
2021-08-31,ERJ,,,,,,,,,
2021-09-30,ERJ,,,,,,,,,
2021-10-31,ERJ,,,,,,,,,
2021-11-30,ERJ,,,,,,,,,
2021-12-31,ERJ,0.02783969403846817,-0.004576042150091453,5.568698179682861,-0.06085041890919008,23.23028951031465,-198.56411489932887,0.11433813018202611,-0.010649957114266653,
2022-01-31,ERJ,,,,,,,,,
2022-02-28,ERJ,,,,,,,,,
2022-03-31,ERJ,,,,,,,,,
2022-04-30,ERJ,,,,,,,,,
2022-05-31,ERJ,,,,,,,,,
2022-06-30,ERJ,,,,,,,,,
2022-07-31,ERJ,,,,,,,,,
2022-08-31,ERJ,,,,,,,,,
2022-09-30,ERJ,,,,,,,,,
2022-10-31,ERJ,,,,,,,,,
2022-11-30,ERJ,,,,,,,,,
2022-12-31,ERJ,0.05580332034501532,-0.020080002310536044,4.456920482257908,-0.2523709783796396,45.241313204903676,-47.873872362459544,0.05030393797903268,-0.040833406748304116,0.08176879824645011
2023-01-31,ERJ,,,,,,,,,
2023-02-28,ERJ,,,,,,,,,
2023-03-31,ERJ,,,,,,,,,
2023-04-30,ERJ,,,,,,,,,
2023-05-31,ERJ,,,,,,,,,
2023-06-30,ERJ,,,,,,,,,
2023-07-31,ERJ,,,,,,,,,
2023-08-31,ERJ,,,,,,,,,
2023-09-30,ERJ,,,,,,,,,
2023-10-31,ERJ,,,,,,,,,
2023-11-30,ERJ,,,,,,,,,
2023-12-31,ERJ,0.02097835301482304,-0.0195380010959828,4.059715242283912,,44.7855338704028,,,,0.16036032067659245
2024-01-31,ERJ,,,,,,,,,
2024-02-29,ERJ,,,,,,,,,
2024-03-31,ERJ,-0.04684639733385296,0.003118164302994307,3.7010326489557834,0.03906713635110926,67.09626609679447,309.2618793031359,0.17744813740798573,0.032009814856123135,
2024-04-30,ERJ,,,,,,,,,
2024-05-31,ERJ,,,,,,,,,
2024-06-30,ERJ,-0.018465907943767436,0.01065304372677908,3.754801007348425,0.13530569175262233,43.96904083803384,89.2939228973843,0.16610895462454825,0.06652389238388436,
2024-07-31,ERJ,,,,,,,,,
2024-08-31,ERJ,,,,,,,,,
2024-09-30,ERJ,0.004788292175778621,0.017847161223349037,3.755617741906288,0.2433868982431476,24.80692522617681,49.64102872483222,0.2573268730796502,0.1056487827936658,
2024-10-31,ERJ,,,,,,,,,
2024-11-30,ERJ,,,,,,,,,
2024-12-31,ERJ,0.04562960779271392,0.01810205183585313,3.54313063443562,,22.76857849827784,,,,0.21376103255195966
2025-01-31,ERJ,,,,,,,,,
2025-02-28,ERJ,,,,,,,,,
2025-03-31,ERJ,-0.036244555128187826,0.007914144826693885,2.947186652048316,0.09991386091189616,54.28830114649681,120.92392283378747,0.17080689029918406,0.06654578422484134,
2025-04-30,ERJ,,,,,,,,,
2025-05-31,ERJ,,,,,,,,,
2025-06-30,ERJ,,,,,,,,,
2025-07-31,ERJ,,,,,,,,,
2025-08-31,ERJ,,,,,,,,,
2025-09-30,ERJ,,,,,,,,,
2025-10-31,ERJ,,,,,,,,,
2025-11-30,ERJ,,,,,,,,,
