date,ticker,FCF_Yield,ROIC,Gearing,ROE,EV_EBITDA,P_E,EBITDA_Margin,Net_Margin,Revenue_Growth_YOY
2020-01-31,HEI,,,,,,,,,
2020-02-29,HEI,,,,,,,,,
2020-03-31,HEI,,,,,,,,,
2020-04-30,HEI,,,,,,,,,
2020-05-31,HEI,,,,,,,,,
2020-06-30,HEI,,,,,,,,,
2020-07-31,HEI,,,,,,,,,
2020-08-31,HEI,,,,,,,,,
2020-09-30,HEI,,,,,,,,,
2020-10-31,HEI,,,,,,,,,
2020-11-30,HEI,,,,,,,,,
2020-12-31,HEI,,,,,,,,,
2021-01-31,HEI,,,,,,,,,
2021-02-28,HEI,,,,,,,,,
2021-03-31,HEI,,,,,,,,,
2021-04-30,HEI,,,,,,,,,
2021-05-31,HEI,,,,,,,,,
2021-06-30,HEI,,,,,,,,,
2021-07-31,HEI,,,,,,,,,
2021-08-31,HEI,,,,,,,,,
2021-09-30,HEI,,,,,,,,,
2021-10-31,HEI,0.012582896151061283,0.07122306133208804,1.8479274917335853,2.2453649031648557,66.80696028003824,106.55808222996515,0.2612245816811225,0.16306101468524647,
2021-11-30,HEI,,,,,,,,,
2021-12-31,HEI,,,,,,,,,
2022-01-31,HEI,,,,,,,,,
2022-02-28,HEI,,,,,,,,,
2022-03-31,HEI,,,,,,,,,
2022-04-30,HEI,,,,,,,,,
2022-05-31,HEI,,,,,,,,,
2022-06-30,HEI,,,,,,,,,
2022-07-31,HEI,,,,,,,,,
2022-08-31,HEI,,,,,,,,,
2022-09-30,HEI,,,,,,,,,
2022-10-31,HEI,0.01344580493047991,0.07177749802225362,2.2319735907889826,2.5741295134644524,54.87657227550013,92.17914203739248,0.2688656817257628,0.15924987388614523,0.18365402035287892
2022-11-30,HEI,,,,,,,,,
2022-12-31,HEI,,,,,,,,,
2023-01-31,HEI,,,,,,,,,
2023-02-28,HEI,,,,,,,,,
2023-03-31,HEI,,,,,,,,,
2023-04-30,HEI,,,,,,,,,
2023-05-31,HEI,,,,,,,,,
2023-06-30,HEI,,,,,,,,,
2023-07-31,HEI,,,,,,,,,
2023-08-31,HEI,,,,,,,,,
2023-09-30,HEI,,,,,,,,,
2023-10-31,HEI,0.012317604065728993,0.04635680452503254,18.075844624425677,2.9197927091576004,45.81850796639897,80.32066664684487,0.25548624459040364,0.13597766925361468,0.3440544449586609
2023-11-30,HEI,,,,,,,,,
2023-12-31,HEI,,,,,,,,,
2024-01-31,HEI,0.0030315790332594125,0.012778347034614215,18.07504084199569,0.8291141985571571,154.73337868213946,282.6300351880591,0.250338311599207,0.1279593200522556,
2024-02-29,HEI,,,,,,,,,
2024-03-31,HEI,,,,,,,,,
2024-04-30,HEI,0.003954456163129897,0.013568945926958245,17.257272228320527,0.8893205846669363,137.0703513492101,263.24119156123623,0.26422997817656574,0.12889537835136253,
2024-05-31,HEI,,,,,,,,,
2024-06-30,HEI,,,,,,,,,
2024-07-31,HEI,0.006111126577296931,0.015046533125354101,16.301397899221755,0.9855247565208619,131.87176243138305,237.35401843648637,0.26345785218584905,0.13764429385454816,
2024-08-31,HEI,,,,,,,,,
2024-09-30,HEI,,,,,,,,,
2024-10-31,HEI,0.018943983398991653,0.01478325569554267,16.22899872490329,0.9838919985880284,132.00387420767746,,,,0.2997077259733063
2024-11-30,HEI,,,,,,,,,
2024-12-31,HEI,,,,,,,,,
2025-01-31,HEI,0.005728427320246652,0.017321205515889452,16.94875440645788,1.2094623355728376,126.32009525860653,193.0106265130541,0.2659125897136734,0.16302796872907005,
2025-02-28,HEI,,,,,,,,,
2025-03-31,HEI,,,,,,,,,
2025-04-30,HEI,,,,,,,,,
2025-05-31,HEI,,,,,,,,,
2025-06-30,HEI,,,,,,,,,
2025-07-31,HEI,,,,,,,,,
2025-08-31,HEI,,,,,,,,,
2025-09-30,HEI,,,,,,,,,
2025-10-31,HEI,,,,,,,,,
2025-11-30,HEI,,,,,,,,,
