date,ticker,FCF_Yield,ROIC,Gearing,ROE,EV_EBITDA,P_E,EBITDA_Margin,Net_Margin,Revenue_Growth_YOY
2020-01-31,HWM,,,,,,,,,
2020-02-29,HWM,,,,,,,,,
2020-03-31,HWM,,,,,,,,,
2020-04-30,HWM,,,,,,,,,
2020-05-31,HWM,,,,,,,,,
2020-06-30,HWM,,,,,,,,,
2020-07-31,HWM,,,,,,,,,
2020-08-31,HWM,,,,,,,,,
2020-09-30,HWM,,,,,,,,,
2020-10-31,HWM,,,,,,,,,
2020-11-30,HWM,,,,,,,,,
2020-12-31,HWM,,,,,,,,,
2021-01-31,HWM,,,,,,,,,
2021-02-28,HWM,,,,,,,,,
2021-03-31,HWM,,,,,,,,,
2021-04-30,HWM,,,,,,,,,
2021-05-31,HWM,,,,,,,,,
2021-06-30,HWM,,,,,,,,,
2021-07-31,HWM,,,,,,,,,
2021-08-31,HWM,,,,,,,,,
2021-09-30,HWM,,,,,,,,,
2021-10-31,HWM,,,,,,,,,
2021-11-30,HWM,,,,,,,,,
2021-12-31,HWM,0.003799224922129627,0.02158153022529556,10.30610233757578,0.6118210775643238,81.3937811957796,255.04998201550387,0.17156074014481093,0.051890587288817375,
2022-01-31,HWM,,,,,,,,,
2022-02-28,HWM,,,,,,,,,
2022-03-31,HWM,,,,,,,,,
2022-04-30,HWM,,,,,,,,,
2022-05-31,HWM,,,,,,,,,
2022-06-30,HWM,,,,,,,,,
2022-07-31,HWM,,,,,,,,,
2022-08-31,HWM,,,,,,,,,
2022-09-30,HWM,,,,,,,,,
2022-10-31,HWM,,,,,,,,,
2022-11-30,HWM,,,,,,,,,
2022-12-31,HWM,0.008206325831799994,0.040094608457768154,10.377162495909882,1.1379212556889724,62.98990487272727,140.3046809381663,0.1942433339219495,0.08281829419035847,0.13897827835880938
2023-01-31,HWM,,,,,,,,,
2023-02-28,HWM,,,,,,,,,
2023-03-31,HWM,,,,,,,,,
2023-04-30,HWM,,,,,,,,,
2023-05-31,HWM,,,,,,,,,
2023-06-30,HWM,,,,,,,,,
2023-07-31,HWM,,,,,,,,,
2023-08-31,HWM,,,,,,,,,
2023-09-30,HWM,,,,,,,,,
2023-10-31,HWM,,,,,,,,,
2023-11-30,HWM,,,,,,,,,
2023-12-31,HWM,0.010364285587569622,0.040692966219342895,9.35561041355894,1.144141143144496,62.75263214545455,,,,0.17252339749249512
2024-01-31,HWM,,,,,,,,,
2024-02-29,HWM,,,,,,,,,
2024-03-31,HWM,0.0014437054704092582,0.020919421487603305,9.045257999851449,0.5953406538363765,164.58686243436753,270.7938080658436,0.22971491228070176,0.13322368421052633,
2024-04-30,HWM,,,,,,,,,
2024-05-31,HWM,,,,,,,,,
2024-06-30,HWM,0.00519733969347333,0.023975483715899533,9.358075103232967,0.6521477541157896,152.3626003539823,247.37930586466166,0.2404255319148936,0.14148936170212767,
2024-07-31,HWM,,,,,,,,,
2024-08-31,HWM,,,,,,,,,
2024-09-30,HWM,0.0024618977495399984,0.027541201194558124,8.339066339066338,0.8157248157248157,147.47187845493562,198.20149204819276,0.2539509536784741,0.18092643051771118,
2024-10-31,HWM,,,,,,,,,
2024-11-30,HWM,,,,,,,,,
2024-12-31,HWM,0.014847370995682582,0.027759197324414717,8.561251876122133,0.818880905466018,147.44612738197424,,,,0.11897590361445776
2025-01-31,HWM,,,,,,,,,
2025-02-28,HWM,,,,,,,,,
2025-03-31,HWM,0.00203638455826148,0.027970511708586297,8.611402453671156,0.8505088843132005,124.0972840433213,191.28748651162792,0.28527291452111225,0.17713697219361482,
2025-04-30,HWM,,,,,,,,,
2025-05-31,HWM,,,,,,,,,
2025-06-30,HWM,,,,,,,,,
2025-07-31,HWM,,,,,,,,,
2025-08-31,HWM,,,,,,,,,
2025-09-30,HWM,,,,,,,,,
2025-10-31,HWM,,,,,,,,,
2025-11-30,HWM,,,,,,,,,
