date,ticker,FCF_Yield,ROIC,Gearing,ROE,EV_EBITDA,P_E,EBITDA_Margin,Net_Margin,Revenue_Growth_YOY
2020-01-31,NOC,,,,,,,,,
2020-02-29,NOC,,,,,,,,,
2020-03-31,NOC,,,,,,,,,
2020-04-30,NOC,,,,,,,,,
2020-05-31,NOC,,,,,,,,,
2020-06-30,NOC,,,,,,,,,
2020-07-31,NOC,,,,,,,,,
2020-08-31,NOC,,,,,,,,,
2020-09-30,NOC,,,,,,,,,
2020-10-31,NOC,,,,,,,,,
2020-11-30,NOC,,,,,,,,,
2020-12-31,NOC,,,,,,,,,
2021-01-31,NOC,,,,,,,,,
2021-02-28,NOC,,,,,,,,,
2021-03-31,NOC,,,,,,,,,
2021-04-30,NOC,,,,,,,,,
2021-05-31,NOC,,,,,,,,,
2021-06-30,NOC,,,,,,,,,
2021-07-31,NOC,,,,,,,,,
2021-08-31,NOC,,,,,,,,,
2021-09-30,NOC,,,,,,,,,
2021-10-31,NOC,,,,,,,,,
2021-11-30,NOC,,,,,,,,,
2021-12-31,NOC,0.03161884737194484,0.15896850131622742,91.96693902117167,44.822125363063215,7.351502096338396,9.716013133476089,0.3009224212857824,0.1964000336445454,
2022-01-31,NOC,,,,,,,,,
2022-02-28,NOC,,,,,,,,,
2022-03-31,NOC,,,,,,,,,
2022-04-30,NOC,,,,,,,,,
2022-05-31,NOC,,,,,,,,,
2022-06-30,NOC,,,,,,,,,
2022-07-31,NOC,,,,,,,,,
2022-08-31,NOC,,,,,,,,,
2022-09-30,NOC,,,,,,,,,
2022-10-31,NOC,,,,,,,,,
2022-11-30,NOC,,,,,,,,,
2022-12-31,NOC,0.021539605133490305,0.11415070877891072,88.98658093589725,31.967004201493356,10.295766788131182,13.901281045751634,0.20993388339435004,0.13376318233976286,0.026214708273754495
2023-01-31,NOC,,,,,,,,,
2023-02-28,NOC,,,,,,,,,
2023-03-31,NOC,,,,,,,,,
2023-04-30,NOC,,,,,,,,,
2023-05-31,NOC,,,,,,,,,
2023-06-30,NOC,,,,,,,,,
2023-07-31,NOC,,,,,,,,,
2023-08-31,NOC,,,,,,,,,
2023-09-30,NOC,,,,,,,,,
2023-10-31,NOC,,,,,,,,,
2023-11-30,NOC,,,,,,,,,
2023-12-31,NOC,0.030854823178942458,0.044563898040575686,104.44391539280741,13.696688993979592,19.065895483565853,33.10343968871595,0.10763553066938152,0.05232883685416136,0.07343860991202678
2024-01-31,NOC,,,,,,,,,
2024-02-29,NOC,,,,,,,,,
2024-03-31,NOC,-0.014340146391737066,0.020411693478636913,111.90607128927246,6.374567420774391,51.758675126903555,72.09816949152543,0.15553143195499852,0.09316095924208033,
2024-04-30,NOC,,,,,,,,,
2024-05-31,NOC,,,,,,,,,
2024-06-30,NOC,0.016235514101300676,0.020280766354064783,124.03101029245728,6.417986880706256,51.017633456334565,72.40497021276596,0.1591309453904874,0.09199451947543551,
2024-07-31,NOC,,,,,,,,,
2024-08-31,NOC,,,,,,,,,
2024-09-30,NOC,0.010725724247918093,0.021868250539956804,113.22675054471428,7.036380742512226,48.359923809523806,66.33593762183236,0.16806722689075632,0.10264105642256903,
2024-10-31,NOC,,,,,,,,,
2024-11-30,NOC,,,,,,,,,
2024-12-31,NOC,0.03850975788190866,0.021841559989781725,113.76177660324664,7.078203929346941,47.73670952380952,,,,0.0443624331891066
2025-01-31,NOC,,,,,,,,,
2025-02-28,NOC,,,,,,,,,
2025-03-31,NOC,-0.02675553952802582,0.010456824835502478,111.2020986427097,3.3386311370790445,76.93433426704014,141.4982785862786,0.11311787072243346,0.05080270384452894,
2025-04-30,NOC,,,,,,,,,
2025-05-31,NOC,,,,,,,,,
2025-06-30,NOC,,,,,,,,,
2025-07-31,NOC,,,,,,,,,
2025-08-31,NOC,,,,,,,,,
2025-09-30,NOC,,,,,,,,,
2025-10-31,NOC,,,,,,,,,
2025-11-30,NOC,,,,,,,,,
