date,ticker,FCF_Yield,ROIC,Gearing,ROE,EV_EBITDA,P_E,EBITDA_Margin,Net_Margin,Revenue_Growth_YOY
2020-01-31,SPR,,,,,,,,,
2020-02-29,SPR,,,,,,,,,
2020-03-31,SPR,,,,,,,,,
2020-04-30,SPR,,,,,,,,,
2020-05-31,SPR,,,,,,,,,
2020-06-30,SPR,,,,,,,,,
2020-07-31,SPR,,,,,,,,,
2020-08-31,SPR,,,,,,,,,
2020-09-30,SPR,,,,,,,,,
2020-10-31,SPR,,,,,,,,,
2020-11-30,SPR,,,,,,,,,
2020-12-31,SPR,,,,,,,,,
2021-01-31,SPR,,,,,,,,,
2021-02-28,SPR,,,,,,,,,
2021-03-31,SPR,,,,,,,,,
2021-04-30,SPR,,,,,,,,,
2021-05-31,SPR,,,,,,,,,
2021-06-30,SPR,,,,,,,,,
2021-07-31,SPR,,,,,,,,,
2021-08-31,SPR,,,,,,,,,
2021-09-30,SPR,,,,,,,,,
2021-10-31,SPR,,,,,,,,,
2021-11-30,SPR,,,,,,,,,
2021-12-31,SPR,-0.048936131253204423,-0.06919966560319384,36.931450754725596,-5.148620480551557,451.304,-8.07869822485207,0.003794586390083481,-0.13680748798380976,
2022-01-31,SPR,,,,,,,,,
2022-02-28,SPR,,,,,,,,,
2022-03-31,SPR,,,,,,,,,
2022-04-30,SPR,,,,,,,,,
2022-05-31,SPR,,,,,,,,,
2022-06-30,SPR,,,,,,,,,
2022-07-31,SPR,,,,,,,,,
2022-08-31,SPR,,,,,,,,,
2022-09-30,SPR,,,,,,,,,
2022-10-31,SPR,,,,,,,,,
2022-11-30,SPR,,,,,,,,,
2022-12-31,SPR,-0.11815168827363949,-0.08682669665018987,37.64568987919052,-5.184678839834002,183.55645933014355,-8.006157229246838,0.00831080006362335,-0.10849769365357086,0.27235011383759167
2023-01-31,SPR,,,,,,,,,
2023-02-28,SPR,,,,,,,,,
2023-03-31,SPR,,,,,,,,,
2023-04-30,SPR,,,,,,,,,
2023-05-31,SPR,,,,,,,,,
2023-06-30,SPR,,,,,,,,,
2023-07-31,SPR,,,,,,,,,
2023-08-31,SPR,,,,,,,,,
2023-09-30,SPR,,,,,,,,,
2023-10-31,SPR,,,,,,,,,
2023-11-30,SPR,,,,,,,,,
2023-12-31,SPR,-0.08555811909470445,-0.08613051896123575,37.54191217281229,-4.702109635911696,189.05167464114834,,,,0.20246142834420233
2024-01-31,SPR,,,,,,,,,
2024-02-29,SPR,,,,,,,,,
2024-03-31,SPR,-0.10169468248736542,-0.10519582423580787,35.82058817524466,-5.303727816300541,-18.288019669199823,-7.084417058537376,-0.2627437162320883,-0.3621681935635424,
2024-04-30,SPR,,,,,,,,,
2024-05-31,SPR,,,,,,,,,
2024-06-30,SPR,-0.13666868087599796,-0.0777534965034965,35.59792740384343,-3.5594497435408314,-32.83712480252765,-10.525078294386894,-0.16971646893223408,-0.2782358066894564,
2024-07-31,SPR,,,,,,,,,
2024-08-31,SPR,,,,,,,,,
2024-09-30,SPR,-0.07390774921262726,-0.09888993336835411,44.086734577734624,-4.088948388751559,-30.38999345977763,-9.161165862864332,-0.2079423364613083,-0.3242894056847545,
2024-10-31,SPR,,,,,,,,,
2024-11-30,SPR,,,,,,,,,
2024-12-31,SPR,-0.29146524573353844,-0.11193434311823246,45.86149822419725,-4.066818241561857,-30.117593198168738,,,,0.044428644653516036
2025-01-31,SPR,,,,,,,,,
2025-02-28,SPR,,,,,,,,,
2025-03-31,SPR,-0.10853841646524573,-0.14900807157444326,45.9483644918922,-5.224233405758307,-21.774389408810773,-7.128340675477239,-0.2878827704034696,-0.4027467472729662,
2025-04-30,SPR,,,,,,,,,
2025-05-31,SPR,,,,,,,,,
2025-06-30,SPR,,,,,,,,,
2025-07-31,SPR,,,,,,,,,
2025-08-31,SPR,,,,,,,,,
2025-09-30,SPR,,,,,,,,,
2025-10-31,SPR,,,,,,,,,
2025-11-30,SPR,,,,,,,,,
