date,ticker,FCF_Yield,ROIC,Gearing,ROE,EV_EBITDA,P_E,EBITDA_Margin,Net_Margin,Revenue_Growth_YOY
2020-01-31,TDG,,,,,,,,,
2020-02-29,TDG,,,,,,,,,
2020-03-31,TDG,,,,,,,,,
2020-04-30,TDG,,,,,,,,,
2020-05-31,TDG,,,,,,,,,
2020-06-30,TDG,,,,,,,,,
2020-07-31,TDG,,,,,,,,,
2020-08-31,TDG,,,,,,,,,
2020-09-30,TDG,,,,,,,,,
2020-10-31,TDG,,,,,,,,,
2020-11-30,TDG,,,,,,,,,
2020-12-31,TDG,,,,,,,,,
2021-01-31,TDG,,,,,,,,,
2021-02-28,TDG,,,,,,,,,
2021-03-31,TDG,,,,,,,,,
2021-04-30,TDG,,,,,,,,,
2021-05-31,TDG,,,,,,,,,
2021-06-30,TDG,,,,,,,,,
2021-07-31,TDG,,,,,,,,,
2021-08-31,TDG,,,,,,,,,
2021-09-30,TDG,0.010237800466671788,0.028891910265125765,362.6129098673425,12.3177529578276,46.45002592994573,116.06353317647059,0.4224676948728637,0.14172571904960402,
2021-10-31,TDG,,,,,,,,,
2021-11-30,TDG,,,,,,,,,
2021-12-31,TDG,,,,,,,,,
2022-01-31,TDG,,,,,,,,,
2022-02-28,TDG,,,,,,,,,
2022-03-31,TDG,,,,,,,,,
2022-04-30,TDG,,,,,,,,,
2022-05-31,TDG,,,,,,,,,
2022-06-30,TDG,,,,,,,,,
2022-07-31,TDG,,,,,,,,,
2022-08-31,TDG,,,,,,,,,
2022-09-30,TDG,0.010503881914444197,0.038936514597446195,364.4705438523019,15.930524957154063,38.980131335504886,91.13533782909931,0.4523853379996316,0.1595137226008473,0.13151313047102953
2022-10-31,TDG,,,,,,,,,
2022-11-30,TDG,,,,,,,,,
2022-12-31,TDG,,,,,,,,,
2023-01-31,TDG,,,,,,,,,
2023-02-28,TDG,,,,,,,,,
2023-03-31,TDG,,,,,,,,,
2023-04-30,TDG,,,,,,,,,
2023-05-31,TDG,,,,,,,,,
2023-06-30,TDG,,,,,,,,,
2023-07-31,TDG,,,,,,,,,
2023-08-31,TDG,,,,,,,,,
2023-09-30,TDG,0.01566079378317615,0.03531618726551031,357.387763408939,15.658089806341252,38.76921928338762,,,,0.2129305581138332
2023-10-31,TDG,,,,,,,,,
2023-11-30,TDG,,,,,,,,,
2023-12-31,TDG,,,,,,,,,
2024-01-31,TDG,,,,,,,,,
2024-02-29,TDG,,,,,,,,,
2024-03-31,TDG,0.0022933686688955367,0.015626615655051183,400.58088698183985,7.204949453435753,105.82464837513632,195.83921230769232,0.477853048462741,0.21000521104742054,
2024-04-30,TDG,,,,,,,,,
2024-05-31,TDG,,,,,,,,,
2024-06-30,TDG,0.007196869634987098,0.01730740351404115,390.33283291256777,8.219597842713949,98.04346334004025,171.20000555314533,0.4858260019550342,0.22531769305962854,
2024-07-31,TDG,,,,,,,,,
2024-08-31,TDG,,,,,,,,,
2024-09-30,TDG,0.023820624848196734,0.017963838520288877,442.91507888278596,8.20048400999897,98.15010317907445,,,,0.20577069096431289
2024-10-31,TDG,,,,,,,,,
2024-11-30,TDG,,,,,,,,,
2024-12-31,TDG,0.008996087043733872,0.019226769278768655,446.6537380954003,8.790781782946718,93.38841081876726,160.08763196754563,0.5418743768693918,0.2457627118644068,
2025-01-31,TDG,,,,,,,,,
2025-02-28,TDG,,,,,,,,,
2025-03-31,TDG,0.0011656901521457975,0.018115576622459786,445.5227533373743,8.519517699253555,93.24720161616162,164.7666024217119,0.5065116279069768,0.22279069767441861,
2025-04-30,TDG,,,,,,,,,
2025-05-31,TDG,,,,,,,,,
2025-06-30,TDG,,,,,,,,,
2025-07-31,TDG,,,,,,,,,
2025-08-31,TDG,,,,,,,,,
2025-09-30,TDG,,,,,,,,,
2025-10-31,TDG,,,,,,,,,
2025-11-30,TDG,,,,,,,,,
