date,ticker,FCF_Yield,ROIC,Gearing,ROE,EV_EBITDA,P_E,EBITDA_Margin,Net_Margin,Revenue_Growth_YOY
2020-01-31,TXT,,,,,,,,,
2020-02-29,TXT,,,,,,,,,
2020-03-31,TXT,,,,,,,,,
2020-04-30,TXT,,,,,,,,,
2020-05-31,TXT,,,,,,,,,
2020-06-30,TXT,,,,,,,,,
2020-07-31,TXT,,,,,,,,,
2020-08-31,TXT,,,,,,,,,
2020-09-30,TXT,,,,,,,,,
2020-10-31,TXT,,,,,,,,,
2020-11-30,TXT,,,,,,,,,
2020-12-31,TXT,,,,,,,,,
2021-01-31,TXT,,,,,,,,,
2021-02-28,TXT,,,,,,,,,
2021-03-31,TXT,,,,,,,,,
2021-04-30,TXT,,,,,,,,,
2021-05-31,TXT,,,,,,,,,
2021-06-30,TXT,,,,,,,,,
2021-07-31,TXT,,,,,,,,,
2021-08-31,TXT,,,,,,,,,
2021-09-30,TXT,,,,,,,,,
2021-10-31,TXT,,,,,,,,,
2021-11-30,TXT,,,,,,,,,
2021-12-31,TXT,0.09219051341616052,0.044086360412891025,17.367450437989856,3.439372982941448,10.616375117437723,17.78285126005362,0.11347116782426102,0.06024874818284607,
2022-01-31,TXT,,,,,,,,,
2022-02-28,TXT,,,,,,,,,
2022-03-31,TXT,,,,,,,,,
2022-04-30,TXT,,,,,,,,,
2022-05-31,TXT,,,,,,,,,
2022-06-30,TXT,,,,,,,,,
2022-07-31,TXT,,,,,,,,,
2022-08-31,TXT,,,,,,,,,
2022-09-30,TXT,,,,,,,,,
2022-10-31,TXT,,,,,,,,,
2022-11-30,TXT,,,,,,,,,
2022-12-31,TXT,0.08548163713321835,0.05115661887031609,17.250242483026188,4.175557710960232,9.728952,15.40767368176539,0.11811329551635713,0.06690496542077862,0.0393312873526086
2023-01-31,TXT,,,,,,,,,
2023-02-28,TXT,,,,,,,,,
2023-03-31,TXT,,,,,,,,,
2023-04-30,TXT,,,,,,,,,
2023-05-31,TXT,,,,,,,,,
2023-06-30,TXT,,,,,,,,,
2023-07-31,TXT,,,,,,,,,
2023-08-31,TXT,,,,,,,,,
2023-09-30,TXT,,,,,,,,,
2023-10-31,TXT,,,,,,,,,
2023-11-30,TXT,,,,,,,,,
2023-12-31,TXT,0.06512886638721398,0.05175108190415131,20.083152754305384,4.463498843948615,9.841452,,,,0.06325277799362805
2024-01-31,TXT,,,,,,,,,
2024-02-29,TXT,,,,,,,,,
2024-03-31,TXT,-0.005502786164660441,0.012542640818703718,18.40388067043082,1.0517998335958472,44.39712185507246,66.00003502487561,0.11004784688995216,0.06411483253588517,
2024-04-30,TXT,,,,,,,,,
2024-05-31,TXT,,,,,,,,,
2024-06-30,TXT,0.02208652529103437,0.01622671456018712,19.109435250321336,1.381340700483736,35.24659141552512,51.220104401544404,0.12418485965409697,0.073433512900482,
2024-07-31,TXT,,,,,,,,,
2024-08-31,TXT,,,,,,,,,
2024-09-30,TXT,0.010327146637787402,0.013830315058298188,19.30945257540228,1.2021239319694887,40.899754722955144,59.48882080717489,0.11059235482929676,0.06507149110008754,
2024-10-31,TXT,,,,,,,,,
2024-11-30,TXT,,,,,,,,,
2024-12-31,TXT,0.0489974110551957,0.013440212150433945,19.61041516363875,1.2188190026453292,40.66756474934037,,,,0.0013885843747716287
2025-01-31,TXT,,,,,,,,,
2025-02-28,TXT,,,,,,,,,
2025-03-31,TXT,-0.013568513830669579,0.012367561539074324,20.678044944566892,1.146319042186756,43.522118895027624,64.08699053140097,0.10949788263762855,0.06261343012704174,
2025-04-30,TXT,,,,,,,,,
2025-05-31,TXT,,,,,,,,,
2025-06-30,TXT,,,,,,,,,
2025-07-31,TXT,,,,,,,,,
2025-08-31,TXT,,,,,,,,,
2025-09-30,TXT,,,,,,,,,
2025-10-31,TXT,,,,,,,,,
2025-11-30,TXT,,,,,,,,,
